CODE_PRODUIT,ID,
MEPA00079,56187,gpairo
MEPA00080,87008,gpairo
MEPA00080,89824,gpairo
MEPA00080,96681,gpairo
CAPE00081,73038,gpairo
OUO100082,1470,gpairo
OUO100082,1473,gpairo
OUOO00083,2564,gpairo
OUOO00083,20558,gpairo
CLC100084,71472,gpairo
CAPE00085,60384,gpairo
OUOO00086,51094,gpairo
OUOO00086,57327,gpairo
OUOO00086,57441,gpairo
OUOO00087,60436,gpairo
OUOO00088,4627,gpairo
OUOO00088,4141,gpairo
OUOO00088,20732,gpairo
MED100089,6458,gpairo
MED100089,9503,gpairo
OUOO00086,402,gpairo
OUOO00086,7947,gpairo
OUOO00086,21817,gpairo
OUOO00086,38656,gpairo
OUOO00086,38640,gpairo
MEPM00090,15802,gpairo
OUOO00086,94170,gpairo
OUOO00086,92108,gpairo
CACP00091,52660,gpairo
OUO100092,8967,gpairo
MEPC00093,1416,gpairo
MEP100094,10947,gpairo
OUO100092,38156,gpairo
MEPL00095,47131,gpairo
MEPM00096,37481,gpairo
MEPC00097,58684,gpairo
OUO100092,49116,gpairo
CACP00091,94083,gpairo
CACP00091,80391,gpairo
CACP00098,66158,gpairo
CACP00099,2769,gpairo
CACP00099,2770,gpairo
CACP00099,14301,gpairo
CACP00099,62284,gpairo
CACP00099,74199,gpairo
CACP00099,75275,gpairo
CACP00099,93616,gpairo
CAC100100,15615,gpairo
CAC100100,15873,gpairo
CACP00091,31173,gpairo
CACP00091,14446,gpairo
CACP00091,15651,gpairo
CACP00091,78053,gpairo
CACP00091,15867,gpairo
CACP00091,14445,gpairo
CACP00091,15652,gpairo
CACP00091,11657,gpairo
CACP00091,15886,gpairo
CACP00091,15889,gpairo
CACP00091,15888,gpairo
CACP00091,15868,gpairo
CACP00091,15869,gpairo
CACP00091,15866,gpairo
CACP00091,3422,gpairo
CACP00091,55703,gpairo
CACP00091,85175,gpairo
CACP00091,14258,gpairo
CACP00091,14289,gpairo
CACP00091,68883,gpairo
CACP00091,91886,gpairo
CACP00091,52672,gpairo
CACP00091,14290,gpairo
CACP00091,15865,gpairo
CACP00091,68882,gpairo
CACP00091,15887,gpairo
CACP00101,91189,gpairo
CACP00099,14169,gpairo
CACP00099,15649,gpairo
CACP00099,3301,gpairo
CACP00099,3432,gpairo
CACP00099,39316,gpairo
CACP00099,46974,gpairo
CACP00099,53200,gpairo
CACP00099,2829,gpairo
CACP00099,2797,gpairo
CACP00099,20589,gpairo
CACP00099,12901,gpairo
CACP00098,3345,gpairo
CACP00098,14277,gpairo
CACP00098,21608,gpairo
CACP00098,39159,gpairo
CACP00098,39315,gpairo
CACP00098,52323,gpairo
CACP00098,61122,gpairo
CACP00098,2830,gpairo
CACP00098,2798,gpairo
CACP00098,20590,gpairo
CACP00098,14168,gpairo
CACP00098,15650,gpairo
CACP00098,39018,gpairo
CACP00098,3302,gpairo
CACP00102,34687,gpairo
CACP00102,34688,gpairo
CACP00103,15614,gpairo
CACP00104,2799,gpairo
CACP00104,3339,gpairo
CACP00104,3340,gpairo
CACP00104,2831,gpairo
CAPE00105,97030,gpairo
MEPA00106,87178,gpairo
MEPA00106,89494,gpairo
CAPA00107,63211,gpairo
CAPA00107,63213,gpairo
MEDR00108,57283,gpairo
MEDM00109,6225,gpairo
CAPK00110,76941,gpairo
CAPK00111,85520,gpairo
MEPA00112,94304,gpairo
MEPA00113,63055,gpairo
MEPA00114,34591,gpairo
MEPB00115,94848,gpairo
MEPM00116,47223,gpairo
CAPE00117,15490,gpairo
MEPB00118,14937,gpairo
ELDA00119,56020,gpairo
ELDA00119,14934,gpairo
ELDA00119,3809,gpairo
ELDA00119,5920,gpairo
ELDA00119,6153,gpairo
ELDA00119,6737,gpairo
ELDA00119,9193,gpairo
ELDA00119,9305,gpairo
ELDA00119,11580,gpairo
ELDA00119,11581,gpairo
ELDA00119,11748,gpairo
ELDA00119,11995,gpairo
ELDA00119,13026,gpairo
ELDA00119,14524,gpairo
ELDA00119,14913,gpairo
ELDA00119,15694,gpairo
ELDA00119,21525,gpairo
ELDA00119,22481,gpairo
ELDA00119,22514,gpairo
ELDA00119,22515,gpairo
ELDA00119,29650,gpairo
ELDA00119,35910,gpairo
ELDA00119,44673,gpairo
ELDA00119,45798,gpairo
ELDA00119,45807,gpairo
ELDA00119,48376,gpairo
ELDA00119,49796,gpairo
ELDA00119,51527,gpairo
ELDA00119,54971,gpairo
ELDA00119,55393,gpairo
ELDA00119,56950,gpairo
ELDA00119,58234,gpairo
ELDA00119,66003,gpairo
ELDA00119,66274,gpairo
ELDA00119,69811,gpairo
ELDA00119,70264,gpairo
ELDA00119,71386,gpairo
ELDA00119,72463,gpairo
ELDA00119,75478,gpairo
ELDA00119,78483,gpairo
ELDA00119,80128,gpairo
ELDA00119,80419,gpairo
ELDA00119,86895,gpairo
ELDA00119,86964,gpairo
ELDA00119,86995,gpairo
ELDA00119,89501,gpairo
ELDA00119,89541,gpairo
ELDA00119,89555,gpairo
ELDA00119,89835,gpairo
ELDA00119,90371,gpairo
ELDA00119,91772,gpairo
ELDA00119,91894,gpairo
ELDA00119,92936,gpairo
ELDA00119,93196,gpairo
ELDA00119,96172,gpairo
ELDA00119,97326,gpairo
ELDA00119,39044,gpairo
ELDA00119,62835,gpairo
ELDA00119,72729,gpairo
ELDA00119,85794,gpairo
ELDA00119,90691,gpairo
ELDA00119,93815,gpairo
ELDA00119,93883,gpairo
ELDA00119,56399,gpairo
ELDA00119,4749,gpairo
ELDA00119,4753,gpairo
ELDA00119,21067,gpairo
ELDA00119,4501,gpairo
ELDA00119,20936,gpairo
ELDA00119,20937,gpairo
ELDA00119,14022,gpairo
ELDA00119,68389,gpairo
ELDA00119,65808,gpairo
ELDA00119,63175,gpairo
ELDA00119,14104,gpairo
ELDA00119,15932,gpairo
ELDA00119,15162,gpairo
ELDA00119,65626,gpairo
ELDA00119,43063,gpairo
ELDA00119,51711,gpairo
ELDA00119,68910,gpairo
ELDA00119,67949,gpairo
ELDA00119,69048,gpairo
ELDA00119,76195,gpairo
ELDA00119,62267,gpairo
ELDA00119,14606,gpairo
ELDA00119,27386,gpairo
ELDA00119,13012,gpairo
ELDA00119,40981,gpairo
ELDA00119,80826,gpairo
ELDA00119,32227,gpairo
ELDA00119,2656,gpairo
ELDA00119,64019,gpairo
ELDA00119,34683,gpairo
ELDA00119,62257,gpairo
ELDA00119,63652,gpairo
ELDA00119,73142,gpairo
ELDA00119,11747,gpairo
ELDA00119,80773,gpairo
ELDA00119,80795,gpairo
ELDA00119,49577,gpairo
ELDA00119,68390,gpairo
ELDA00119,74741,gpairo
ELDA00119,63870,gpairo
ELDA00119,95641,gpairo
ELDA00119,41064,gpairo
ELDA00119,43996,gpairo
ELDA00119,44646,gpairo
ELDA00119,42467,gpairo
ELDA00119,72762,gpairo
ELDA00119,66314,gpairo
ELDA00119,72896,gpairo
ELDA00119,73278,gpairo
ELDA00119,5150,gpairo
ELDA00119,87679,gpairo
ELDA00119,96725,gpairo
ELDA00119,14101,gpairo
ELDA00119,80280,gpairo
ELDA00119,42294,gpairo
ELDA00119,16325,gpairo
ELDA00119,40702,gpairo
ENMM00120,69779,gpairo
MEDA00121,85325,gpairo
MEDA00121,94382,gpairo
MEDA00121,51589,gpairo
MEDA00121,64169,gpairo
MEDA00121,52746,gpairo
MEDA00121,68819,gpairo
ELDD00122,47976,gpairo
ELDD00122,55403,gpairo
ELDD00122,55483,gpairo
MEDA00121,90859,gpairo
ELDD00122,46282,gpairo
MEDA00123,9536,gpairo
MEDA00124,6551,gpairo
MEDA00121,87645,gpairo
MEDA00125,14270,gpairo
MEDA00126,14320,gpairo
MEDA00121,78144,gpairo
MEDA00121,3005,gpairo
MEDA00121,6208,gpairo
MEDA00121,6286,gpairo
MEDA00121,6541,gpairo
MEDA00121,9491,gpairo
MEDA00121,11893,gpairo
MEDA00121,11895,gpairo
MEDA00121,12275,gpairo
MEDA00121,12312,gpairo
MEDA00121,12953,gpairo
MEDA00121,13092,gpairo
MEDA00121,14218,gpairo
MEDA00121,14499,gpairo
MEDA00121,14523,gpairo
MEDA00121,14534,gpairo
MEDA00121,14752,gpairo
MEDA00121,14870,gpairo
MEDA00121,14958,gpairo
MEDA00121,15607,gpairo
MEDA00121,15708,gpairo
MEDA00121,16400,gpairo
MEDA00121,22259,gpairo
MEDA00121,22260,gpairo
MEDA00121,22466,gpairo
MEDA00121,29373,gpairo
MEDA00121,32189,gpairo
MEDA00121,34411,gpairo
MEDA00121,34857,gpairo
MEDA00121,39032,gpairo
MEDA00121,41176,gpairo
MEDA00121,46336,gpairo
MEDA00121,46700,gpairo
MEDA00121,47259,gpairo
MEDA00121,50239,gpairo
MEDA00121,56971,gpairo
MEDA00121,64119,gpairo
MEDA00121,76797,gpairo
MEDA00121,77592,gpairo
MEDA00121,78245,gpairo
MEDA00121,78356,gpairo
MEDA00121,82390,gpairo
MEDA00121,84802,gpairo
MEDA00121,84886,gpairo
MEDA00121,87015,gpairo
MEDA00121,87115,gpairo
MEDA00121,87229,gpairo
MEDA00121,87646,gpairo
MEDA00121,88352,gpairo
MEDA00121,88437,gpairo
MEDA00121,90279,gpairo
MEDA00121,90281,gpairo
MEDA00121,90282,gpairo
MEDA00121,90838,gpairo
MEDA00121,93192,gpairo
MEDA00121,96171,gpairo
MEDA00121,96469,gpairo
MEDA00121,34858,gpairo
MEDA00121,84690,gpairo
MEDA00121,85795,gpairo
MEDA00121,94261,gpairo
MEDA00125,49356,gpairo
MEDA00121,3885,gpairo
MEDA00121,7565,gpairo
MEDA00121,7684,gpairo
MEDA00121,20688,gpairo
MEDA00121,84609,gpairo
MEDA00121,10680,gpairo
MEDA00121,78525,gpairo
MEDA00121,43053,gpairo
MEDA00127,45021,gpairo
MEDA00121,55162,gpairo
MEDA00126,14266,gpairo
MEDA00126,16023,gpairo
MEDA00126,23018,gpairo
MEDA00126,23050,gpairo
MEDA00126,23063,gpairo
MEDA00126,29390,gpairo
MEDA00126,38963,gpairo
MEDA00126,39247,gpairo
